text,label
"Sabiais que @Iberia te trata muy bien en santiago de chile?Te cambia el asiento,te manda a volar en el wc trasero,e… https://t.co/uansbOnn69",0
"NUNCA NUNCA NUNCA pidáis el café de Ryanair.
Bueno, nada que vendan a bordo.",0
@cris_tortu @dakar @Iberia @Mitsubishi_ES @BFGoodrichEU @BurgosTur @ASTIntlogistics @Uremovil @karbium Muchos éxito… https://t.co/Ed9VrKyVU7,1
"@mgd_1970 Wow que bonito , yo solo he volado unas 3 o 4 veces en un 747 de @Iberia y siempre fue a tu tierra :)",1
Barómetro #Business: Iberia (57%) y Vueling (61%) son las compañías aéreas más utilizadas en los #viajes de… https://t.co/jl80ib9JYr,1
@Iberia Felicitaciones IBERIA!,1
Un año de estos nos unirán con el resto de iberia. ¿No decían en Cataluña que el AVE en Galicia no era rentable? https://t.co/qDPzFbc5oT,0
@Alpaniagu Lo de ryanair es penoso...yo sólo viajo con ellos si no tengo otra alternativa...,0
"@Iberia Además, he intentado hacer d nuevo la compracon otra tarjeta y no me lo permite aunq en la tarjeta tenga di… https://t.co/ik1qsMfrrE",0
"@algoqrecordar @Iberia  @viajarlocura @lacosmopolilla   @WanderlustTB @TragaViajes  Una suerte poder volar, pero especialmente aterrizar 👉✌😜",1
"📉 🔥 ¡Chollo! Maleta Aerolite barata por sólo 37,99 € Enlace: https://t.co/4lfu1HSkgP",1
OMG! 🤯 Estoy viendo que Iberia tiene en agosto vuelo directo a San Francisco (y vuelta) y mi corazón está saltando… https://t.co/dGK936alSu,1
@javidevicalvaro Iberia es la ETA Militar de las aerolineas. Mis peores experiencias han sido todas con ellos,0
@andreaesv Hola Andrea. Mi pareja ya tiene sentencia firme por el abandono de Iberia en Praga. Le han indemnizado c… https://t.co/88aFwsY9G6,0
"@flandivar @quiz_viajero llegando a #Málaga por #Ryanair, nos pusieron una musiquita por el altavoz que nos encenti… https://t.co/rV5DNhaJGW",0
"@Iberia @Renfe Finalmente @renfe tuvo que proporcionarme una autorización para viajar, pero esto es lamentable y me… https://t.co/2ezAZOFqqO",0
